projectId,name,methodologyCode,country,countryCode,supplierName,supplierListingUrl,creditingPeriodStart,creditingPeriodEnd,generalRulesVersion,generalRulesUrl,sdgs
181856,A. James - 50370 Brecey,C01000000,France,FR,Carbonapp,,2021-01-01,2021-12-31,Puro Standard General Rules Version 2.0,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.0.pdf,Climate action
227253,Alcom-01-NuevaEcijaPhilippines,C03000000,Philippines,PH,Alcom Carbon Markets Pte Ltd,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/alcom-01-nuevaecijaphilippines,2022-06-10,2027-06-09,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
543800,"American BioCarbon CT, LLC",C03000000,United States,US,"American BioCarbon CT, LLC",https://puro.earth/CORC-co2-removal-certificate/supplier-listing/american-biocarbon-ct-llc,2022-07-05,2027-07-04,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
175613,Aperam BioEnergia,C03000000,Brazil,BR,Aperam Bioenergia Ltda,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/aperam-bioenergia,2021-12-01,2026-11-30,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
686528,Applied Carbon – Terra,C03000000,United States,US,Applied Carbon Inc.,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/terra-141,2024-12-10,2029-12-09,Puro Standard General Rules Version 4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Final General Rules Version 4.1 .pdf,Climate action
310958,"Are Treindustrier, Norway",C01000000,Norway,NO,Accend AS,,2019-10-01,2024-09-30,Puro Standard General Rules Version 2.0,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.0.pdf,Climate action
756292,Avonmouth Production Facility,C09000000,United Kingdom,GB,O.C.O Technology Limited,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/avonmouth-production-facility-62,2021-09-01,2026-08-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
957051,BASNA d.o.o.,C03000000,Serbia,RS,Basna d.o.o.,,,,Puro Standard General Rules Version 2.0,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.0.pdf,
511686,BBB - Ahlstrom_Radcliffe,C03000000,United Kingdom,GB,Black Bull Biochar Ltd,,2024-01-01,2028-12-31,Puro Standard General Rules Version 4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Final General Rules Version 4.1 .pdf,Climate action
448190,BBB - AWJ_Newton Rigg (JNR),C03000000,United Kingdom,GB,Black Bull Biochar Ltd,,2024-09-17,2029-09-16,Puro Standard General Rules Version 4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Final General Rules Version 4.1 .pdf,Climate action
862421,BC Biocarbon - McBride,C03000000,Canada,CA,BC Biocarbon LTD,,2020-12-01,2025-11-30,Puro Standard General Rules Version 2.2,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.2.pdf,Climate action
157033,Bella Biochar Corporation,C03000000,Canada,CA,Bella Biochar Corporation,,2021-07-01,2022-03-15,Puro Standard General Rules Version 2.4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.4.pdf,Climate action
664457,Bio-Logical Mt Kenya Biochar Project,C03000000,Kenya,KE,Bio-Logical,,2024-03-22,2029-03-21,Puro Standard General Rules Version 4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Final General Rules Version 4.1 .pdf,Climate action
392654,BioLesna Carrot River,C03000000,Canada,CA,BC Biocarbon LTD,,2024-05-07,2029-05-06,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
300346,Brandon Production Facility,C09000000,United Kingdom,GB,O.C.O Technology Limited,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/brandon-production-facility-63,2021-09-01,2026-08-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
680422,Brodie Biomass,C03000000,United Kingdom,GB,Accend AS,,2024-09-01,2029-08-31,Puro Standard General Rules Version 4.2,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Standard%20General%20Rules%204_2.pdf,Climate action
299495,Bussme-01-Munka-Ljungby,C03000000,Sweden,SE,Bussme Biochar AB,,2021-09-15,2026-09-14,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
665890,Bussme-01-Svedala,C03000000,Sweden,SE,Bussme Biochar AB,,2020-09-01,2025-08-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
911942,Carbofex 1 Hiedanranta,C03000000,Finland,FI,Carbofex Oy,,,,Puro Standard General Rules Version 2.0,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.0.pdf,Climate action
507468,Carbofex Nokia 1,C03000000,Finland,FI,Carbofex Oy,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/carbofex-nokia-1,,,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
511285,"Carbon Cycle, 001, Rieden, DE",C03000000,Germany,DE,Accend AS,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/carbon-cycle-001-rieden-de,2019-10-01,2025-09-30,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
712033,Carbon Hill,C03000000,United Kingdom,GB,Accend AS,,2022-06-01,2027-05-30,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
291133,Carbonchip Mobile Carboniser #1,C03000000,Australia,AU,Biocare Projects Pty Ltd,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/carbonchip-mobile-carboniser-1-137,2023-04-01,2028-03-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
145827,Carbonity Biochar Production Canada,C03000000,Canada,CA,First Climate (Switzerland) AG,,2025-02-27,2030-02-26,Puro Standard General Rules Version 4.2,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Standard%20General%20Rules%204_2.pdf,Climate action
120366,Clean Maine Carbon,C03000000,United States,US,Clean Maine Carbon,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/greenville-facility-111,2023-08-01,2028-07-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
959739,CSI-Hardin,C06000000,United States,US,"Carbon Sequestration, Inc.",https://puro.earth/CORC-co2-removal-certificate/supplier-listing/csi-hardin-106,2023-04-24,2028-04-23,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
992402,Douglas County Forest Products,C03000000,United States,US,ACT Commodities Inc.,,,,Puro Standard General Rules Version 2.2,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.2.pdf,
715141,Earthcare,C03000000,United States,US,"Earthcare, LLC",,2023-01-01,2027-12-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
767851,ECHO2 Holla-Fresh,C03000000,Australia,AU,Rainbow Bee Eater Pty Ltd,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/echo2-holla-fresh,2019-07-01,2024-06-30,Puro Standard General Rules Version 2.4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.4.pdf,Climate action
706975,ECOERA Millennium 1 Hammenhög Skånefrö,C03000000,Sweden,SE,Ecoera AB,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/ecoera-millennium-1-hammenhog-skanefro,,,Puro Standard General Rules Version 3.0,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v3.0.pdf,Climate action
387867,Eion - Twinterstellar 3021,C07000000,United States,US,Eion Corp,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/eion-twinterstellar-3021-206,2023-05-10,2028-05-09,Puro Standard General Rules Version 4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Final General Rules Version 4.1 .pdf,Climate action
522433,Ekovilla 1 Kiiminki,C01000000,Finland,FI,Eco Up Oyj,,2018-01-01,2022-11-30,Puro Standard General Rules Version 2.7,https://connect.puro.earth/hubfs/General%20Rules/Puro%20Rules%20v2.7.pdf,Climate action
926954,Ekovilla 2 Kuusankoski,C01000000,Finland,FI,Eco Up Oyj,,2018-10-01,2022-11-30,Puro Standard General Rules Version 2.7,https://connect.puro.earth/hubfs/General%20Rules/Puro%20Rules%20v2.7.pdf,Climate action
