transactionId,owner,completedOn,certificates,creditType,issuanceId,issuanceDate,vintage,volume,methodologyCode,methodologyName,projectId,projectName,labels,monitoringPeriodStartDate,monitoringPeriodEndDate,beneficiary,useCountry,usePeriodStartDate,usePeriodEndDate,usePurpose
e79ecfed-cb6b-4862-add6-fbbe8ecbcd60,South Pole Ltd.,2025-12-12T17:30:58.213Z,PURO_PR_CORC100+_FR_619736_2024_c1e63cb7-6f63-4f3c-b3b4-bb9ae7482efa_1224-1403,CORC 100+,c1e63cb7-6f63-4f3c-b3b4-bb9ae7482efa,2024-10-02,2024,180,C03000000,"Biochar, 2022",619736,Four Bordet,CORC 100+,2023-05-01,2024-04-30,Telia Company,Sweden,2025-01-01T00:00:00.000Z,2026-12-31T00:00:00.000Z,"Telia Company has funded climate action through verified contributions to match their unabated emissions (remaining emissions from scope 1, scope 2 market-based and scope 3 category 6) for the period 01.01.2025 to 31.12.2026."
b4995a85-f699-43a1-a774-b3f0ee738f38,"Patch Technologies, Inc.",2025-12-11T11:13:19.418Z,PURO_PR_CORC1000+_GB_625222_2023_7b84669c-baf7-49c3-ac94-c19357e66488_643002406801000010000000261152-643002406801000010000000261161,CORC 1000+,7b84669c-baf7-49c3-ac94-c19357e66488,2024-01-12,2023,10,C09000000,Carbonated Materials,625222,Leeds Production Facility,"CORC 1000+,Partially withdrawn",2022-10-01,2023-09-30,Patch buyers,United States,2023-01-01T00:00:00.000Z,2025-12-31T00:00:00.000Z,On behalf of Patch's customers and/ or their End Users
dd35dd00-3c30-42f9-b929-725ebee1af06,Climeworks AG,2025-12-11T08:58:55.818Z,PURO_PR_CORC1000+_IS_631817_2025_ad6ec91f-3976-45b6-92da-8ecfb963ea4b_70-89,CORC 1000+,ad6ec91f-3976-45b6-92da-8ecfb963ea4b,2025-12-05,2025,20,C05000000,Geologically stored carbon,631817,Orca plant,CORC 1000+,2025-05-01,2025-08-31,,Switzerland,2025-01-01T00:00:00.000Z,2025-12-31T00:00:00.000Z,
3d15006d-21be-4f24-bb28-de6621d6d3d3,Accend AS,2025-12-10T11:37:01.186Z,PURO_PR_CORC100+_GB_680422_2025_ff63b44a-d319-440a-b79d-888785d1b419_1-250,CORC 100+,ff63b44a-d319-440a-b79d-888785d1b419,2025-12-09,2025,250,C03000000,"Biochar, 2022",680422,Brodie Biomass,CORC 100+,2024-09-01,2025-07-31,Howden Group,United Kingdom,2023-10-01T00:00:00.000Z,2024-09-30T00:00:00.000Z,Retired on behalf of Howden Group to compensate for Howden Group Scope 1 and Scope 2 emissions as part of a broader carbon portfolio.
51d1da00-0c85-45ef-823d-481f37133dc9,Removall,2025-12-09T14:53:34.331Z,PURO_PR_CORC100+_FR_619736_2024_c1e63cb7-6f63-4f3c-b3b4-bb9ae7482efa_558-973,CORC 100+,c1e63cb7-6f63-4f3c-b3b4-bb9ae7482efa,2024-10-02,2024,416,C03000000,"Biochar, 2022",619736,Four Bordet,CORC 100+,2023-05-01,2024-04-30,UEFA,Switzerland,2024-08-01T00:00:00.000Z,2025-07-31T00:00:00.000Z,Retired on behalf of UEFA in support of high-quality carbon removal actions linked to unavoidable Internal Organisation emissions in the 2024–25 season.
c6634c8b-9243-48f1-95e8-223281e10f07,Removall,2025-12-09T14:45:42.448Z,PURO_PR_CORC_FI_926954_2022_f45ac317-43ba-4505-8cd5-62971061901f_643002406555908610000000271347-643002406555908610000000271918,CORC,f45ac317-43ba-4505-8cd5-62971061901f,2022-08-25,2022,572,C01000000,Wooden Building Elements,926954,Ekovilla 2 Kuusankoski,CORC,2022-01-01,2022-07-31,UEFA,Switzerland,2024-08-01T00:00:00.000Z,2025-07-31T00:00:00.000Z,Retired on behalf of UEFA in support of high-quality carbon removal actions linked to unavoidable Internal Organisation emissions in the 2024–25 season.
c6634c8b-9243-48f1-95e8-223281e10f07,Removall,2025-12-09T14:45:42.448Z,PURO_PR_CORC_FI_926954_2022_da01b30c-ff20-40fe-8901-d1c6af8da375_643002406801000010000000091002-643002406801000010000000092725,CORC,da01b30c-ff20-40fe-8901-d1c6af8da375,2022-12-21,2022,1724,C01000000,Wooden Building Elements,926954,Ekovilla 2 Kuusankoski,CORC,2022-08-01,2022-11-30,UEFA,Switzerland,2024-08-01T00:00:00.000Z,2025-07-31T00:00:00.000Z,Retired on behalf of UEFA in support of high-quality carbon removal actions linked to unavoidable Internal Organisation emissions in the 2024–25 season.
7586e979-4536-4028-acd9-77583aec587b,Removall,2025-12-09T14:37:52.144Z,PURO_PR_CORC_AT_928755_2021_f3318bfe-0a1f-4035-8823-67a1cdba760c_643002406555908610000000213692-643002406555908610000000214191,CORC,f3318bfe-0a1f-4035-8823-67a1cdba760c,2022-07-07,2021,500,C01000000,Wooden Building Elements,928755,"Noritec, Stall im Mölltal, Austria",CORC,2020-07-01,2021-12-31,UEFA,Switzerland,2024-08-01T00:00:00.000Z,2025-07-31T00:00:00.000Z,Retired on behalf of UEFA in support of high-quality carbon removal actions linked to unavoidable Internal Organisation emissions in the 2024–25 season.
7586e979-4536-4028-acd9-77583aec587b,Removall,2025-12-09T14:37:52.144Z,PURO_PR_CORC_AT_928755_2021_f3318bfe-0a1f-4035-8823-67a1cdba760c_643002406555908610000000214192-643002406555908610000000216691,CORC,f3318bfe-0a1f-4035-8823-67a1cdba760c,2022-07-07,2021,2500,C01000000,Wooden Building Elements,928755,"Noritec, Stall im Mölltal, Austria",CORC,2020-07-01,2021-12-31,UEFA,Switzerland,2024-08-01T00:00:00.000Z,2025-07-31T00:00:00.000Z,Retired on behalf of UEFA in support of high-quality carbon removal actions linked to unavoidable Internal Organisation emissions in the 2024–25 season.
7586e979-4536-4028-acd9-77583aec587b,Removall,2025-12-09T14:37:52.144Z,PURO_PR_CORC_NO_350917_2022_39449553-fbcc-4bd4-9336-5779379c1590_643002406555908610000000162128-643002406555908610000000164127,CORC,39449553-fbcc-4bd4-9336-5779379c1590,2022-04-28,2022,2000,C01000000,Wooden Building Elements,350917,"Moelven Limtre, Moelv",CORC,2020-12-01,2022-02-28,UEFA,Switzerland,2024-08-01T00:00:00.000Z,2025-07-31T00:00:00.000Z,Retired on behalf of UEFA in support of high-quality carbon removal actions linked to unavoidable Internal Organisation emissions in the 2024–25 season.
