id,transaction_date,quantity,project_id,project_name,project_short_code,durability,country,country_code,project_status,supplier,pathway,pathway_full
iss_1KCW90YXR1S0FKX2,2025-12-19T21:42:32.684328+00:00,4534.37,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1KCW1PEJB1S01796,2025-12-19T19:34:27.213385+00:00,2285.27,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Graphyte,BiCRS,Biomass Carbon Removal and Storage
iss_1KCSQVZYR1S0114X,2025-12-18T22:04:14.204251+00:00,49.53,prj_1K3S0527T1S0KYXT,Hampton Roads WAE Project,ZTF7,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,CREW Carbon,Marine,Marine
iss_1KCSQS1RJ1S0DX1Q,2025-12-18T22:02:37.775029+00:00,372.52,prj_1JFA3YY9P1S0YVKR,New England WAE Project,X8KC,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,CREW Carbon,Marine,Marine
iss_1KCK6GD6F1S0F3QG,2025-12-16T09:05:22.152056+00:00,1267.15,prj_1JXCRW5ST1S0EEKH,Humboldt Sawmill Company (HSC),HD88,OVER_TWO_HUNDRED_YEARS,United States of America,USA,VALIDATED,Pacific Biochar,BiCRS,Biomass Carbon Removal and Storage
iss_1KCK6FN6W1S0M54H,2025-12-16T09:04:57.609102+00:00,1775.16,prj_1JXCRW5ST1S0EEKH,Humboldt Sawmill Company (HSC),HD88,OVER_TWO_HUNDRED_YEARS,United States of America,USA,VALIDATED,Pacific Biochar,BiCRS,Biomass Carbon Removal and Storage
iss_1KC9P98E11S07KVZ,2025-12-12T16:28:40.812068+00:00,1507.98,prj_1H502CZZH1S0VMYW,Nova Scotia Mineral OAE Project,F5X7,OVER_ONE_THOUSAND_YEARS,Canada,CAN,VALIDATED,Planetary,Marine,Marine
iss_1KBQW1E271S01GM9,2025-12-05T18:22:56.099876+00:00,454.71,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1KB5R8GYP1S08TEH,2025-11-28T17:30:34.430833+00:00,3312.18,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1KB0D6QDW1S08XRC,2025-11-26T15:41:08.960024+00:00,240.19,prj_1JQEQKCF91S06HAJ,Ontario Avenue Bio-Oil Sequestration,GHYZ,OVER_ONE_THOUSAND_YEARS,Canada,CAN,VALIDATED,NULIFE GreenTech,BiCRS,Biomass Carbon Removal and Storage
iss_1KA1F2XVP1S01R4X,2025-11-14T15:17:34.223182+00:00,221.35,prj_1JYCV03BW1S0RTE5,Darjeeling Revival: Alt x MOL,E3D1,OVER_ONE_THOUSAND_YEARS,India,IND,VALIDATED,Alt Carbon,EW,Enhanced Weathering
iss_1K987GRBH1S0KT4M,2025-11-04T20:04:17.939626+00:00,319.97,prj_1JQ775W7D1S0WYSA,Project Araçari,H2QE,OVER_ONE_THOUSAND_YEARS,Brazil,BRA,VALIDATED,InPlanet,EW,Enhanced Weathering
iss_1K932NYSS1S017PY,2025-11-02T20:03:33.350164+00:00,291.85,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1K8TJJ9KE1S0KZ7A,2025-10-30T12:48:00.773788+00:00,3579.38,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1K754YW881S01WS5,2025-10-09T18:50:28.014913+00:00,166.4,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1K6GGJDWT1S06FK3,2025-10-01T18:29:19.938262+00:00,1189.65,prj_1H502CZZH1S0VMYW,Nova Scotia Mineral OAE Project,F5X7,OVER_ONE_THOUSAND_YEARS,Canada,CAN,VALIDATED,Planetary,Marine,Marine
iss_1K6FYR68X1S0ZR6K,2025-10-01T13:17:54.390866+00:00,2546.09,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Graphyte,BiCRS,Biomass Carbon Removal and Storage
iss_1K6DWCG2Y1S0581E,2025-09-30T17:58:05.178300+00:00,55.7,prj_1JQEQKCF91S06HAJ,Ontario Avenue Bio-Oil Sequestration,GHYZ,OVER_ONE_THOUSAND_YEARS,Canada,CAN,VALIDATED,NULIFE GreenTech,BiCRS,Biomass Carbon Removal and Storage
iss_1K6DS8NSB1S0CE2P,2025-09-30T17:03:34.329130+00:00,2926.33,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1K5XPYRDZ1S01XR9,2025-09-24T11:15:21.237412+00:00,135.39,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1K4B0H3VF1S00JXE,2025-09-04T18:41:23.862394+00:00,555.95,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1K3YDJ1BB1S0REHD,2025-08-30T21:18:58.000656+00:00,2786.33,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1K1V25P691S0BEJ0,2025-08-04T17:30:52.018476+00:00,3.52,prj_1JN6XNWDQ1S0BSN7,Range & Plains Biochar,6TMZ,OVER_TWO_HUNDRED_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1K1GRMN4Y1S0VQWK,2025-07-31T17:31:52.530716+00:00,1349.64,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JZB25YAD1S000SZ,2025-07-04T15:51:45.810293+00:00,1014.57,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1JZ2M1G2B1S083RJ,2025-07-01T09:10:44.664605+00:00,709.04,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JYSFMMG51S0RWTN,2025-06-27T20:00:38.988972+00:00,1868.15,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Graphyte,BiCRS,Biomass Carbon Removal and Storage
iss_1JXW6N77B1S05B02,2025-06-16T11:05:42.455463+00:00,625.64,prj_1H502CZZH1S0VMYW,Nova Scotia Mineral OAE Project,F5X7,OVER_ONE_THOUSAND_YEARS,Canada,CAN,VALIDATED,Planetary,Marine,Marine
