project_id,name,short_code,description,short_description,durability,status,country,country_code,location,issued,retired,active,supplier,pathway,pathway_full,pathway_type,validated_at,crediting_period_start,crediting_period_end
prj_1K3VWSDS61S0QKV7,A Biochar Project at Satyapura,TS26,"The Biochar Project at Satyapura, in Rajasthan, India transforms invasive Prosopis juliflora into durable biochar, beginning at 10 TPD and scaling to 50 TPD. In the second phase, the project will consider using agri-residue feedstocks such as mustard husk, castor and cotton-stalks which will be validated against Isometric's Biomass Protocol.

By diverting biomass from decay and combustion, the project locks carbon away for the long term while improving soils, reducing emissions, and supporting rural livelihoods. Every step of the process is digitally monitored and independently verified, ensuring full transparency.

The project takes its name from the historic region of Sanchore in western Rajasthan - once known as Satyapura, or the “city of truth.” In this spirit, it draws on ancestral wisdom and nature-based practices that honor the soil, the community, and the climate. By converting waste biomass into biochar, Satyapura restores degraded land, enriches soil organic carbon, and uplifts rural communities. At its heart, the project is about returning to the land’s truth - quietly and powerfully regenerating from what it has always known.","The Biochar Project at Satyapura, in Rajasthan, India transforms invasive Prosopis juliflora into durable biochar, beginning at 10 TPD and scaling to 50 TPD. By diverting biomass from decay and combustion, the project locks carbon away for the long term while improving soils, reducing emissions, and supporting rural livelihoods. Every step of the process is digitally monitored and independently verified, ensuring full transparency.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,India,IND,"Rajasthan, India",0.0,0.0,0.0,Equilibrium,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,2025-11-27,2030-11-26
prj_1JTZ7NRK81S0GA0S,B10 - Brondal #1,8WQK,"B10 partners with local sawmills in White River, SA to produce biochar from wood chips created from the plantation grown timber waste streams. Using a purpose-built pyrolysis facility, the process ensures emissions control, efficiency, quality, and operational safety. The biochar is used in anaerobic digesters or inoculated and both streams end up as fertilizer/soil enhancer in agriculture. ","B10 partners with local sawmills in White River, SA to produce biochar from wood chips created from the plantation grown timber waste streams. Using a purpose-built pyrolysis facility, the process ensures emissions control, efficiency, quality, and operational safety. The biochar is used in anaerobic digesters or inoculated and both streams end up as fertilizer/soil enhancer in agriculture. ",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,South Africa,ZAF,South Africa,0.0,0.0,0.0,B10,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,,
prj_1JRZWM3BP1S071QG,Burnsville,9Y8H,"Carba is pyrolyzing woody biomass into stable biochar and applying it as a soil amendment to daily cover over landfill waste for permanent carbon removal and co-benefits. The project is conducted in collaboration with the Burnsville Sanitary Landfill (BSL), a landfill operator, in Burnsville, MN. This project will receive feedstock from SETMN, an organic waste facility, and Asplundh who will supply tree trimmings from utility corridor management.","Carba is pyrolyzing woody biomass into stable biochar and applying it as a soil amendment to daily cover over landfill waste for permanent carbon removal and co-benefits. The project is conducted in collaboration with the Burnsville Sanitary Landfill (BSL), a landfill operator, in Burnsville, MN. This project will receive feedstock from SETMN, an organic waste facility, and Asplundh who will supply tree trimmings from utility corridor management.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,United States of America,USA,"Burnsville, MN",0.0,0.0,0.0,Carba,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,2025-09-16,2030-09-01
prj_1JYENJXB71S0CR1B,Capital Link's Berthoud Facility,WPVN,"The Berthoud Biochar Facility, located in Berthoud, Colorado, removes carbon by converting waste wood into high-quality biochar through pyrolysis. Operating 24/7, the facility processes dozens of truckloads of wood each day using a highly integrated system for shredding, screening, and kiln loading. Once pyrolyzed, the biochar is cooled, cleaned, ground, and bagged for distribution. This process permanently stores carbon in a stable form, supporting long-term climate benefits while repurposing wood waste.","The Berthoud Biochar Facility in Colorado runs 24/7, converting waste wood into high-quality biochar through pyrolysis. Using an integrated system for shredding, screening, and kiln loading, it processes dozens of truckloads daily. The resulting biochar is cooled, cleaned, ground, and bagged - permanently storing carbon and repurposing wood waste.",OVER_TWO_HUNDRED_YEARS,UNDER_VALIDATION,United States of America,USA,"Berthoud, Colorado",0.0,0.0,0.0,Capital Link Green,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,2026-04-02,2026-04-03
prj_1JF8BBG921S010M4,Carboneers & Terrafront High Tech Biochar,NYW2,"Carboneers and Terrafront partner with smallholder farmers in Assam, India, to produce biochar from paddy straw waste streams with a small amount coming from corn stover. Using a centralized, high-tech pyrolysis facility tweaked to maximize biochar yield and quality, the process ensures emissions control, efficiency, quality, and operator safety. Once produced, the biochar is mixed with compost or manure and applied to nearby fields. ","Carboneers and Together for Restoration partner with smallholder farmers in Assam, India, to produce biochar and apply it to nearby fields.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,India,IND,"Assam, India",0.0,0.0,0.0,Carboneers,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,,
prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,"Charm produces bio-oil, a carbon rich liquid made from unmerchantable wildfire prevention residues in Colorado and procures bio-oil produced by third parties, made from forest products processing residuals. A combination of rail and truck is used to transport bio-oil to injection well sites that are converted oil assets. Permanent sequestration will occur in multiple locations, such as Louisiana.","Charm produces bio-oil, a carbon rich liquid made from unmerchantable wildfire prevention residues in Colorado and procures bio-oil produced by third parties, made from forest products processing residuals. A combination of rail and truck is used to transport bio-oil to injection well sites that are converted oil assets. Permanent sequestration will occur in multiple locations, such as Louisiana.",OVER_ONE_THOUSAND_YEARS,VALIDATED,United States of America,USA,"Evangeline Parish, Lousiana",4568.42,2908.247,1537.31,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,2024-08-20T07:37:17.138838+00:00,2024-03-01,2029-02-28
prj_1K2YPGE781S0A3Q0,Cocoa Biochar Carboneers,CPC1,"In Ghana, cocoa residues remain unutilized, leading to substantial GHG emissions and facilitating spread of pests and diseases. This project converts cocoa pods and prunings into biochar, thereby preventing significant methane emissions and reducing plant disease incidence associated with uncontrolled decomposition of these residues. Given the absence of infrastructure for centralized feedstock collection, Carboneers Coco Kilns are deployed at the village level. Each kiln is equipped with continuous monitoring systems to ensure optimal pyrolysis conditions.","In Ghana, cocoa residues remain unutilized, leading to substantial GHG emissions and facilitating spread of pests and diseases. This project converts cocoa pods and prunings into biochar, thereby preventing significant methane emissions and reducing plant disease incidence associated with uncontrolled decomposition of these residues. Given the absence of infrastructure for centralized feedstock collection, Carboneers Coco Kilns are deployed at the village level. Each kiln is equipped with continuous monitoring systems to ensure optimal pyrolysis conditions.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,Ghana,GHA,Ghana,0.0,0.0,0.0,Carboneers,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,2025-11-01,2030-11-01
prj_1K051N4HQ1S02170,Corigin-1: BioChar Q3-25,CH3M,"Corigin is a carbon removal business that produces multiple high value products from agricultural wastes. Biochar soil amendments help farmers increase yields and soil fertility while reducing chemical, fertilizer and water use. 

We help the World. Our biochar permanently removes Carbon from atmosphere and sequesters it into the earth where it remains in the soil for thousands of years.","Corigin is a carbon removal business that produces multiple high value products from agricultural wastes. Biochar soil amendments help farmers increase yields and soil fertility while reducing chemical, fertilizer and water use. 

We help the World. Our biochar permanently removes Carbon from atmosphere and sequesters it into the earth where it remains in the soil for thousands of years.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,United States of America,USA,California,0.0,0.0,0.0,Corigin,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,2025-07-01,2030-07-01
prj_1JYCV03BW1S0RTE5,Darjeeling Revival: Alt x MOL,E3D1,"The project is anchored in regions where high rainfall, humidity, and warm summers accelerate silicate mineral dissolution and other key geochemical processes. It sequesters atmospheric CO₂, while enhancing soil health, improving productivity, strengthening the local economy, preserving biodiversity, and advancing sustainable land management practices.","The project is anchored in regions where high rainfall, humidity, and warm summers accelerate silicate mineral dissolution and other key geochemical processes. It sequesters atmospheric CO₂, while enhancing soil health, improving productivity, strengthening the local economy, preserving biodiversity, and advancing sustainable land management practices.",OVER_ONE_THOUSAND_YEARS,VALIDATED,India,IND,"Terai region, India",221.35,0.0,216.923,Alt Carbon,EW,Enhanced Weathering,ENHANCED_WEATHERING,2025-09-22T16:34:24.331946+00:00,2024-10-01,2029-10-01
prj_1JZJY8NY61S0RH07,Darjeeling Revival: Monsoon Harvest,SD0E,"The project is primarily focused on the Terai region, leveraging the high rainfall, warm summers, and collaboration with local tea growers. The project enhances soil health and crop productivity while sequestering atmospheric CO₂. This approach aids in carbon removal and supports the local economy, preserves biodiversity, and promotes sustainable agricultural practices.","The project is primarily focused on the Terai region, leveraging the high rainfall, warm summers, and collaboration with local tea growers. The project enhances soil health and crop productivity while sequestering atmospheric CO₂. This approach aids in carbon removal and supports the local economy, preserves biodiversity, and promotes sustainable agricultural practices.",OVER_ONE_THOUSAND_YEARS,VALIDATED,India,IND,"Terai region, India",0.0,0.0,0.0,Alt Carbon,EW,Enhanced Weathering,ENHANCED_WEATHERING,2026-01-14T15:35:26.162727+00:00,2024-10-01,2029-10-01
